iter	Logloss
0	0.5434816627
1	0.4312065844
2	0.3469780926
3	0.2284062344
4	0.1863936164
5	0.1529641858
6	0.1259217779
7	0.09980751004
8	0.06842962528
9	0.048800304
10	0.03599227752
11	0.02788891288
12	0.02269017621
13	0.01926050694
14	0.0169885743
15	0.0154546901
16	0.01434818019
17	0.0135761018
18	0.01306777906
19	0.01269234645
20	0.01241488288
21	0.01219191613
22	0.01202592937
23	0.01189846534
24	0.01180335734
25	0.01171897668
26	0.01164621327
27	0.01158832944
28	0.01153210555
29	0.01148682744
30	0.01145097387
31	0.01141526631
32	0.01138452784
33	0.01136112916
34	0.01133710081
35	0.01131308779
36	0.01129285723
37	0.01127191417
38	0.0112582548
39	0.01124440413
40	0.01122674553
41	0.01121020438
42	0.01119749789
43	0.0111830852
44	0.01117266317
45	0.011158865
46	0.01115141985
47	0.0111394453
48	0.0111281815
49	0.0111148585
50	0.0111063684
51	0.01109669918
52	0.01108914782
53	0.01108290002
54	0.01107355485
55	0.01106718679
56	0.0110602469
57	0.01105541135
58	0.01104794495
59	0.01104225754
60	0.01103529351
61	0.01102761465
62	0.01102285099
63	0.01101834175
64	0.01101311881
65	0.01100926091
66	0.0110036042
67	0.01099890654
68	0.01099494791
69	0.01099073828
70	0.01098642006
71	0.01098257091
72	0.01097942734
73	0.01097596213
74	0.01097227359
75	0.01096836627
76	0.01096559569
77	0.01096141444
78	0.01095752018
79	0.01095253628
80	0.01095045058
81	0.01094805301
82	0.01094527675
83	0.01094220199
84	0.01093881112
85	0.01093594358
86	0.01093286525
87	0.01093048346
88	0.01092545372
89	0.01092232368
90	0.01091857557
91	0.01091597983
92	0.01091423167
93	0.01091178952
94	0.01090936909
95	0.01090595544
96	0.0109029732
97	0.01089885505
98	0.01089778068
99	0.0108943079
100	0.01089318848
101	0.01089180133
102	0.01088709341
103	0.01088367657
104	0.01088172696
105	0.01087935069
106	0.01087659521
107	0.01087425743
108	0.01087203814
109	0.01086975588
110	0.01086742825
111	0.01086592767
112	0.01086338659
113	0.01086216778
114	0.0108602302
115	0.01085839532
116	0.01085592159
117	0.01085482879
118	0.01085301145
119	0.01085207317
120	0.01085064426
121	0.01084887267
122	0.01084565756
123	0.01084270899
124	0.01083965161
125	0.01083677718
126	0.01083437074
127	0.01083247226
128	0.01082973302
129	0.0108280321
130	0.01082647559
131	0.01082418282
132	0.01082217034
133	0.01081920043
134	0.01081631528
135	0.01081323948
136	0.01081221789
137	0.0108104775
138	0.01080877054
139	0.01080551063
140	0.01080378918
141	0.01080245706
142	0.01080061059
143	0.01079898031
144	0.01079629936
145	0.01079382232
146	0.0107922184
147	0.01079109614
148	0.01079025035
149	0.01078859803
150	0.01078597113
151	0.01078478952
152	0.01078284966
153	0.01078166628
154	0.01078035581
155	0.01077865592
156	0.01077793975
157	0.01077654173
158	0.01077575449
159	0.01077449563
160	0.01077278522
161	0.01077210101
162	0.01077055665
163	0.0107686674
164	0.01076811875
165	0.01076593529
166	0.01076500732
167	0.01076356916
168	0.0107617338
169	0.01076066225
170	0.01075964875
171	0.01075897799
172	0.01075769553
173	0.01075694541
174	0.01075413831
175	0.01075349943
176	0.01075225435
177	0.01075088636
178	0.01074969393
179	0.01074871038
180	0.0107468865
181	0.01074610553
182	0.01074527874
183	0.01074366907
184	0.01074284649
185	0.01074169642
186	0.01074058016
187	0.0107394886
188	0.01073866869
189	0.01073770923
190	0.01073624022
191	0.01073469964
192	0.01073376103
193	0.01073276641
194	0.01073096749
195	0.01072943145
196	0.01072825993
197	0.0107274673
198	0.0107266703
199	0.01072530183
200	0.01072387656
201	0.01072297465
202	0.01072186933
203	0.01072076164
204	0.01072007833
205	0.01071960168
206	0.01071833129
207	0.01071772886
208	0.01071722885
209	0.01071501806
210	0.01071370487
211	0.0107122474
212	0.01071117759
213	0.01070981766
214	0.01070830742
215	0.01070777729
216	0.01070738866
217	0.01070596155
218	0.01070509847
219	0.01070328156
220	0.01070245416
221	0.01070157628
222	0.01070069985
223	0.01069959192
224	0.01069889532
225	0.01069783561
226	0.01069677252
227	0.01069583469
228	0.01069555517
229	0.01069483854
230	0.0106943967
231	0.01069361037
232	0.01069305058
233	0.01069265685
234	0.01069164216
235	0.01069105474
236	0.01069019175
237	0.01068939703
238	0.01068896992
239	0.0106881952
240	0.01068691973
241	0.01068592573
242	0.01068529854
243	0.01068490412
244	0.01068427496
245	0.01068296405
246	0.01068219757
247	0.0106814447
248	0.01068102036
